Id,primary_use,processor_brand,price,capacity,ram,touchscreen,size,resolution,weight
635,20,1,487,512,8,0,15.6,1080,3.53
639,20,3,415,256,8,0,15.6,1080,3.53
651,20,3,328,256,8,0,14,1080,4.1
664,20,3,675,512,8,0,14,1440,3.04
665,20,3,530,256,8,0,14,1440,3.04
667,20,3,675,512,8,0,14,1440,3.04
670,20,3,663,512,16,0,14,1080,3.09
673,20,3,434,256,8,0,15.6,1080,2.93
674,20,3,339,1000,4,0,14.1,1080,3.53
682,20,3,510,256,8,0,14,1080,4.14
688,20,3,470,256,8,0,14.96,1080,3.48
690,20,1,564,512,8,0,14,1080,2.65
692,20,3,691,256,8,0,15.6,1080,4.08
693,20,3,419,256,8,0,14,1080,3.48
702,20,3,421,256,4,0,15.6,1080,3.17
709,20,3,510,512,8,0,14,1080,3.48
710,20,3,585,512,4,0,14,1080,3.79
727,20,1,218,256,4,0,14,768,4.85
741,20,1,270,512,4,0,14,768,4.85
749,20,1,280,512,4,0,14,768,4.85
812,20,3,750,256,8,0,14,1080,3.48
820,20,3,413,256,4,0,14,1080,3.48
829,20,3,686,256,8,0,15.6,1080,4.03
830,20,3,675,256,4,0,14.9,1080,4.03
832,20,3,404,256,8,0,15.6,1080,4.03
833,20,3,449,512,8,0,15.6,1080,4.03
835,20,3,1029,512,16,0,14,1080,3.42
837,20,3,1165,512,8,0,13.3,1080,2.12
838,20,3,530,512,8,0,15.6,1080,3.17
862,20,1,399,256,8,0,15.6,1080,4.03
971,20,3,484,512,8,0,15.6,768,3.9
0,30,3,2800,1000,32,0,17.3,2560,6.39
1,30,3,2800,1000,32,0,15.6,2560,5.07
2,30,1,1300,512,16,0,16.1,1080,5.47
3,30,1,1100,512,16,0,15.6,1080,4.96
13,30,1,1020,512,16,0,15.6,1080,4.08
15,30,1,1590,1000,32,1,13.4,1080,2.87
16,30,3,1940,1000,16,0,15.6,1080,6.39
21,30,3,1275,512,16,0,15.6,1080,5.84
22,30,1,850,512,8,0,15.6,1080,5.67
33,30,1,985,512,8,0,15.6,1080,3.59
34,30,1,1310,512,16,0,16.6,1080,3.9
37,30,1,1000,512,8,0,17.3,1080,4.1
40,30,3,1470,1000,16,0,15.6,2560,5.67
41,30,3,1050,512,16,0,15.6,1080,5.67
42,30,3,1279,512,16,0,15.6,1080,5.67
44,30,3,900,512,16,0,15.6,1080,5.84
45,30,3,1174,1000,16,0,15.6,1080,5.67
46,30,3,1290,512,16,0,15.6,1080,5.67
47,30,3,850,512,8,0,15.6,1080,5.84
55,30,3,955,1000,8,0,15.6,1080,3.66
62,30,1,960,512,8,0,15.6,1080,4.37
68,30,1,1080,512,16,0,15.6,1080,4.67
70,30,3,1115,512,16,0,15.6,1080,5.29
71,30,3,1169,512,16,0,15.6,1080,4.85
72,30,3,2800,1000,32,0,17.3,2560,6.39
